Customer ID,DATE,PARTICULARS,INST_NO,WITHDRAW,DEPOSIT,BALANCE,TRAN_ID,INSTRMNT_TYPE,TRAN_TYPE,TRAN_SUB_TYPE,TRAN_RMKS,TRAN_RMKS2,DTH_INIT_SOL_ID,CONTA_ACCT_NO,CONTA_ACCT_NAME,CONTAR_ACCT_SOL,PROFESSION,TRAN_TIME
89012,11-Jan-24,COURT FEE,,"500.00",,"5,500.00",TXN037,,T,DR,FILING FEE,,0,,,,,13:45
89012,16-Jan-24,CLIENT SETTLEMENT,,,"12,000.00","17,500.00",TXN038,,T,CR,CASE SETTLEMENT,,0,,,,,15:00
89012,19-Jan-24,OFFICE SUPPLIES,,"350.00",,"17,150.00",TXN039,,T,DR,STATIONERY,,0,,,,,10:20
89012,24-Jan-24,PROFESSIONAL SUBSCRIPTION,,"450.00",,"16,700.00",TXN040,,T,DR,BAR ASSOCIATION FEE,,0,,,,,14:30
90123,1-Jan-24,PENSION CREDIT,,,"3,500.00","3,500.00",TXN041,,T,CR,MONTHLY PENSION,,0,,,,,08:00
90123,7-Jan-24,PHARMACY,,"180.00",,"3,320.00",TXN042,,T,DR,MEDICATION,,0,,,,,11:15
90123,12-Jan-24,SOCIAL SECURITY,,,"1,200.00","4,520.00",TXN043,,T,CR,SS BENEFIT,,0,,,,,09:30
90123,18-Jan-24,GRANDCHILDREN GIFT,,"500.00",,"4,020.00",TXN044,,T,DR,FAMILY GIFT,,0,,,,,15:45
90123,23-Jan-24,INVESTMENT DIVIDEND,,,"800.00","4,820.00",TXN045,,T,CR,STOCK DIVIDEND,,0,,,,,10:00
101234,8-Jan-24,SPOUSE TRANSFER,,,"2,500.00","2,500.00",TXN046,,T,CR,FAMILY TRANSFER,,0,,,,,12:00
101234,13-Jan-24,GROCERY SHOPPING,,"320.00",,"2,180.00",TXN047,,T,DR,SUPERMARKET,,0,,,,,16:30
101234,18-Jan-24,UTILITY PAYMENT,,"150.00",,"2,030.00",TXN048,,T,DR,MONTHLY BILLS,,0,,,,,14:15
101234,22-Jan-24,CHILDREN ALLOWANCE,,"400.00",,"1,630.00",TXN049,,T,DR,SCHOOL EXPENSES,,0,,,,,09:45
101234,26-Jan-24,SAVINGS DEPOSIT,,,"1,000.00","2,630.00",TXN050,,T,CR,MONTHLY SAVINGS,,0,,,,,11:30
